Name,Type,RAJ2000,u_RAs,DEJ2000,u_DEs,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,l_E_B-V_,E_B-V_,l_E_B-V_2,E_B-V_2,u_E_B-V_,r_Vmag,l_Fx,Fx,Fxu,Range,r_Fx,Porb,Porb2,u_Porb,Ppulse,u_Ppulse,r_Ppulse,Cat,SpType,Name2,u_Name2,Name3,BibCodes
0535+262,TP,05 38 54.600,,+26 18 57.00,,181.39999389648438,-2.6,o,,V725 Tau,414,8.899999618530273,9.600000381469727,,0.44999998807907104,,0.6200000047683716,-0.5400000214576721,,0.800000011920929,,,,"225,449,653,660",<,3.0,2800.0,,63,111.0,,,104.0,,"508,561","U,A,H",O9.7IIIe,,,HD 245770,"1976ApJ...206..257S-Stier & Liller,1983Natur.303..681P-Priedhorsky & Terrell,1989PASJ...41....1N-Nagase,1998MNRAS.297L...5S-Steele et al.,1983ARA&A..21...13B-Bradt & McClintock,1977ApJ...216..811M-Margon et al.,1980A&AS...40..289G-Giangrande et al.,"
J0535.8-6530,,05 35 53.800,,-65 30 34.00,,275.29998779296875,-32.3,x,13.0,,,,,,,,,,,,,,,,,0.5,,(0.1-2.4 keV),250,,,,,,,R,,,,,"1999A&A...344..521H-Haberl & Pietsch,"
0538-641,U,05 38 56.400,,-64 05 01.00,,273.6000061035156,-32.1,o,3.0,*1,716,16.700000762939453,17.5,,-0.20000000298023224,,,-0.6000000238418579,,0.10000000149011612,,,,"136,431,708",<,1.7,44.0,,63,1.7,,,,,136,"U,M,A,H,F,X",B3 Ve,LMC X-3,,,"1974ApJS...28...73L-Lucke,1983ARA&A..21...13B-Bradt & McClintock,1986MNRAS.220..339V-Vacca et al.,1983ApJ...272..118C-Cowley et al.,"
0540-697,U,05 39 38.700,,-69 44 36.00,,280.20001220703125,-31.5,o,3.0,*32,"135,181",14.5,,,0.28999999165534973,,,-0.699999988079071,,0.3700000047683716,,,,"47,318",,3.0,25.0,,63,4.22,,,,,322,"U,M,A,H,X",O7-9 III,LMC X-1,,,"1983ARA&A..21...13B-Bradt & McClintock,1987AJ.....94..340H-Hutchings et al.,1983ApJ...275L..43H-Hutchings et al.,1985A&A...146..242B-Bianchi & Pakull,"
J0541.4-6936,,05 41 22.200,,-69 36 29.00,,280.0,-31.4,x,6.599999904632568,Sk-69 271,612,12.010000228881836,,,0.0,,,,,,,,,"335,603",,,,,,,,,,,,R,B2 SG,,,,"1975A&AS...19..259I-Isserstedt,1978A&AS...31..243R-Rousseau et al.,"
J0541.5-6833,,05 41 37.100,,-68 32 32.00,,278.79998779296875,-31.4,x,4.5,LMC BI267,,14.020000457763672,,,-0.029999999329447746,,,-1.0399999618530273,,,,,,74,,,,,,,,,,,,R,OB0,,,,"1975A&AS...21..109B-Brunet et al.,"
0544-665,,05 44 15.500,,-66 33 50.00,,276.5,-31.4,o,3.0,*1,349,15.399999618530273,,,-0.20000000298023224,,,-0.9599999785423279,,0.10000000149011612,,,,"431,715",,1.8,,,349,,,,,,,H,B1Ve,,,,"1974ApJS...28...73L-Lucke,1979ApJ...233..514J-Johnston et al.,1983MNRAS.203..279V-Van der Klis et al.,"
J0544.1-710,TP,05 44 06.300,,-71 00 50.00,,281.6000061035156,-31.0,x,3.299999952316284,Be star,151,15.329999923706055,,,0.12999999523162842,,,,,0.3199999928474426,,,,151,,0.14,0.36,(2-10 keV),151,,,,96.08,,151,"B, R, E",Be,J0544.1-7100,,,"1998A&A...337..772C-Cusumano et al.,"
0556+286,,05 55 54.700,,+28 47 06.00,,181.3000030517578,1.9,o,,HD249179,,9.199999809265137,,,,,,,,,,,,"557,698",,1.1,,,781,,,,,,,H,B5ne,,,,"-Tuohy et al.                        1,1984ApJS...56..507W-Wood et al.,1950ApJ...111..495P-Popper,"
J0635+0533,P,06 35 17.400,,+05 33 20.90,,206.10000610351562,-1.0,x,60.0,,352,12.829999923706055,,,0.9800000190734863,,,,,1.2000000476837158,,,,352,,0.55,,,352,,,,0.0338,,152,B,B2V-B1IIIe,,,,"1999ApJ...523..197K-Kaaret et al.,2000ApJ...528L..25C-Cusumano et al.,"
J0648.0-4419,P,06 48 04.600,,-44 18 54.40,,253.6999969482422,-19.1,x,10.0,HD49798,329,8.270000457763672,,,-0.23999999463558197,,,-1.1799999475479126,,,,,,344,,0.03,,,,1.55,,,13.1789,,"329,684","R,B",sdO6,,,,"1997ApJ...474L..53I-Israel et al.,1970MNRAS.150..215T-Thackeray,1963PASP...75..365J-Jaschek & Jaschek,"
0726-260,TP,07 28 53.400,,-26 06 28.00,,240.3000030517578,-4.1,o,,star,654,11.600000381469727,,,0.30000001192092896,,,-0.6000000238418579,,0.6000000238418579,,,,"515,654",,1.2,4.7,,"743,781",34.5,,,103.2,,131,"U,A,E,H,R,X",O8-9Ve,,,,"1984ApJS...56..507W-Wood et al.,1997ApJ...489L..83C-Corbet et al.,1996A&A...315..160N-Negueruela et al.,1981MNRAS.197..865W-Warwick et al.,1984ApJ...280..688S-Steiner et al.,"
0739-529,,07 47 23.500,,-53 19 58.00,,266.3999938964844,-13.7,o,,HD63666,646,7.619999885559082,,,0.019999999552965164,,,-0.23999999463558197,,,,,,"293,437,518,698",,0.7,,,781,,,,,,,H,B7IV-Ve,,,SAO235515,"1982A&AS...48..355M-MacConnell,1984ApJS...56..507W-Wood et al.,-Tuohy et al.                        1,-Houk & Cowley                       1,1978A&AS...34....1N-Nicolet,"
