Name,Type,RAJ2000,u_RAs,DEJ2000,u_DEs,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,l_E_B-V_,E_B-V_,l_E_B-V_2,E_B-V_2,u_E_B-V_,r_Vmag,l_Fx,Fx,Fxu,Range,r_Fx,Porb,Porb2,u_Porb,Ppulse,u_Ppulse,r_Ppulse,Cat,SpType,Name2,u_Name2,Name3,BibCodes
1916-053,BD,19 18 48.000,,-05 14 09.00,,31.399999618530273,-8.5,o,,V1405 Aql,"447,1126,1397",21.0,,,0.4000000059604645,,,-0.5,,0.699999988079071,,,,"476,1126",,25.0,,,"1179,1399",0.83,,,,,"476,1126,1412","U,M,A,H,S,R,AS,B,X,C",,,,,"1981MNRAS.197..865W-Warwick, R.S. et al.,1988ApJ...334L..25G-Grindlay, J.E. et al.,1988AJ.....95.1528S-Schmidtke, P.,1982ApJ...253L..61W-White, N.E. & Swank, J.H.,1988MNRAS.232..647S-Smale, A.P. et al.,"
1918+146,T,19 20 17.000,:,+14 41 39.00,:,49.29999923706055,0.4,x,2400.0,,,,,,,,,,,,,,,,<,5.0,45.0,,230,,,,,,,"U,A",,,,,"1978ApJ...224...46C-Cominsky, L. et al.,"
1940-04,B,19 42 38.000,,-03 54 00.00,:,35.29999923706055,-13.1,x,3600.0,,,,,,,,,,,,,,,,<,50.0,,,937,,,,,,,Ha,,,,,"1983PASJ...35..531M-Murakami, T. et al.,"
1957+115,U,19 59 24.000,,+11 42 30.00,,51.29999923706055,-9.3,o,,V1408 Aql,"327,447",18.700000762939453,,,0.30000001192092896,,,-0.6000000238418579,,0.4000000059604645,,,,809,,30.0,,,1399,9.33,,,,,1281,"U,M,A,H,S,X,G,Exo,AS",,,,,"1981MNRAS.197..865W-Warwick, R.S. et al.,1987ApJ...312..739T-Thorstensen, J.R.,1978ApJ...221..907M-Margon, B. et al.,"
2000+251,TU,20 02 49.600,,+25 14 12.00,,63.400001525878906,-3.1,o,,QZ Vul,"120,447",18.899999618530273,,,1.2999999523162842,,,0.0,,1.5,,,,"90,1301",<,0.5,11000.0,,"896,1139",8.26,,,,,"120,173,189,191","G,R",,,,*B,"...................-Borisov, N.V.                       *,1991MNRAS.249..573C-Callanan, P.J. & Charles, PA.,1992PASJ...44..117M-Mineshige, S. et al.,1994MNRAS.271L..10S-Shahbaz, T. et al.,1992Priv.Comm.....C-Chevalier, C. & Ilovaisky, .A.      *,1990A&A...238..163C-Chevalier, C. & Ilovaisky, .A.,1991MNRAS.249..567C-Charles, P.A. et al.,1989ApJ...337L..81T-Tsunemi, H. et al.,"
J2012+381,TU,20 12 37.800,,+38 11 01.10,,75.4000015258789,2.22,o,0.3499999940395355,*B,597,21.329999923706055,,,,,,,,1.899999976158142,,2.4000000953674316,,597,,160.0,,,1422,,,,,,,"X,AS",,,,,"1998IAUC.6927Q...1C-White, N.E. et al.,1999MNRAS.305L..49H-Hynes, R.I. et al.,"
2023+338,TU,20 24 03.800,,+33 52 04.00,,73.19999694824219,-2.2,o,,V404 Cyg,"331,1389",12.699999809265137,,,1.5,,,0.30000001192092896,,1.0,,,:,"118,172,1390",,0.4,20000.0,,"896,1139,1234",155.4,,,,,148,"G,X,K",,,,,"1992PASJ...44..117M-Mineshige, S. et al.,...................-Charles, P.A. et al.                *,1994MNRAS.271L..10S-Shahbaz, T. et al.,1989IAUC.4786.....M-Buie, M.W. & Bond, H.E.,1991ApJ...378..293W-Wagner, R.M. et al.,1991PAZh...17..291S-Sunyaev, R.A. et al.,1992Natur.355..614C-Casares, J. et al.,"
J2123-058,TBA,21 23 14.540,,-05 47 52.90,,58.099998474121094,-29.9,o,1.0,,1293,16.799999237060547,19.239999771118164,,-0.019999999552965164,,,-0.8799999952316284,,0.10000000149011612,,,,1290,,110.0,,,740,5.96,,,,,"595,600,1293",X,,,,,"1998IAUC.6955Q...1G-Levine, A.M. et al.,1998IAUC.6957Q...1P-Tomsick, J.A. et al.,1998IAUC.6975R...1I-Ilovaisky, S.A. & Chevalier C.,1998IAUC.6976Q...1P-Hynes, R.I. et al.,1999ApJ...521..341T-Tomsick, J.A. et al.,"
2127+119,GB,21 29 58.300,,+12 10 03.00,,65.0,-27.3,o,,M15,22,15.800000190734863,16.399999618530273,,-0.10000000149011612,,,-1.2000000476837158,<,0.05999999865889549,,,,"23,83,953",,6.0,,,"1366,1399",17.1,,,,,"521,604,605,951","U,M,A,H,X",,,,AC 2,"1993A&A...270..139I-Ilovaisky, S.A. et al.,1987A&A...179L...1I-Ilovaisky, S.A. et al.,1981MNRAS.197..865W-Warwick, R.S. et al.,1984MNRAS.209..765B-Bingham, E.A. et al.,1988MNRAS.233..285N-Naylor, T. et al.,1992MNRAS.255....1N-Naylor, T. et al.,1984MNRAS.210..899V-Verbunt, F. et al.,1994MNRAS.271L..21H-Hellier, C.,1986A&A...158..158A-Auriere, M. et al.,"
2129+470,B,21 31 26.200,,+47 17 24.00,,91.5999984741211,-3.0,o,,V1727 Cyg,"447,1284",16.399999618530273,17.5,,0.6499999761581421,,,-0.30000001192092896,,0.5,,,:,"864,1284",,9.0,,,1399,5.24,,,,,"864,865","U,M,A,H,R",,,,,"1981MNRAS.197..865W-Warwick, R.S. et al.,1979ApJ...233L..57T-Thorstensen, J.R. et al.,1982ApJ...258..245M-McClintock, J.E. et al.,1981ApJ...243..900M-McClintock, J.E. et al.,"
2142+380,ZB,21 44 41.200,,+38 19 18.00,,87.30000305175781,-11.3,o,,V1341 Cyg,"418,447",14.699999809265137,,,0.5,,,-0.20000000298023224,,0.44999998807907104,,,,"199,783,866",,450.0,,,1399,236.2,,,,,249,"U,M,A,H,X,B,G",,Cyg X-2,,,"1983ApJ...265..354C-Chiappetti, L. et al.,1981MNRAS.197..865W-Warwick, R.S. et al.,1979ApJ...231..539C-Cowley, A.P. et al.,1979SvAL....5..206L-Lyutyi, V.M. & Shugarov, S.Yu.,1984ApJ...283..794M-McClintock, J.E. et al.,"
2318+620,,23 20 34.100,,+62 17 33.00,,112.5999984741211,1.3,r,,,,,,,,,,,,0.30000001192092896,,,,1273,,2.4,,,384,,,,,,,"U,A",,,,,"1991Natur.351..547T-Taylor, A.R. et al.,1978ApJS...38..357F-Forman, W. et al.,"
